Product Name,Add Qty,Condition,Category,OLDPRICE,OLDSKU,Language
Body of Knowledge - Extended Art,1,Near Mint,Commander Legends,1.69,abcde,English
Fyndhorn Elves,1,Near Mint,Commander Legends,1.01,abcde,English
"Kediss, Emberclaw Familiar",1,Near Mint,Commander Legends,2.19,abcde,English
Necrotic Hex - Extended Art,1,Near Mint,Commander Legends,1.56,abcde,English
"Odric, Lunarch Marshal - Theme Deck Exclusive",1,Near Mint,Commander Legends,0.56,abcde,English
Terastodon - Theme Deck Exclusive,1,Near Mint,Commander Legends,0.74,abcde,English
Victimize,1,Near Mint,Commander Legends,0.66,abcde,English
Whelming Wave - Theme Deck Exclusive,1,Near Mint,Commander Legends,1.04,abcde,English
Astarion's Thirst,1,Near Mint,Commander Legends: Battle for Baldur's Gate,0.53,abcde,English
Captain N'ghathrod - Extended Art,2,Near Mint,Commander: Commander Legends: Battle for Baldur's Gate,4.83,abcde,English
Castle Vantress,1,Near Mint,Commander: Commander Legends: Battle for Baldur's Gate,1.24,abcde,English
Chaos Dragon,1,Near Mint,Commander: Commander Legends: Battle for Baldur's Gate,1.44,abcde,English
Clan Crafter - Extended Art,3,Near Mint,Commander: Commander Legends: Battle for Baldur's Gate,1.06,abcde,English
Dissipation Field,1,Near Mint,Commander: Commander Legends: Battle for Baldur's Gate,0.6,abcde,English
Earthquake Dragon - Extended Art,1,Near Mint,Commander Legends: Battle for Baldur's Gate,1.62,abcde,English
Endless Evil - Extended Art,1,Near Mint,Commander: Commander Legends: Battle for Baldur's Gate,0.68,abcde,English
Jaheira's Respite - Extended Art,1,Near Mint,Commander Legends: Battle for Baldur's Gate,0.49,abcde,English
Majestic Genesis,1,Near Mint,Commander Legends: Battle for Baldur's Gate,1.88,abcde,English
"Miirym, Sentinel Wyrm - Showcase",1,Near Mint,Commander Legends: Battle for Baldur's Gate,0.67,abcde,English
Mocking Doppelganger - Extended Art,1,Near Mint,Commander: Commander Legends: Battle for Baldur's Gate,0.66,abcde,English
Wizards of Thay - Extended Art,1,Near Mint,Commander Legends: Battle for Baldur's Gate,0.54,abcde,English
Wyll's Reversal,1,Near Mint,Commander Legends: Battle for Baldur's Gate,1.14,abcde,English
"Wyll, Blade of Frontiers",1,Near Mint,Commander Legends: Battle for Baldur's Gate,1.07,abcde,English
"Wyll, Blade of Frontiers - Showcase",3,Near Mint,Commander Legends: Battle for Baldur's Gate,0.54,abcde,English
Abstruse Archaic,1,Near Mint,Commander Masters,0.72,abcde,English
Crashing Drawbridge,1,Near Mint,Commander Masters,1.25,abcde,English
"Daretti, Scrap Savant",1,Near Mint,Commander Masters,1.05,abcde,English
Dreadhorde Invasion,1,Near Mint,Commander Masters,0.76,abcde,English
Everflowing Chalice,1,Near Mint,Commander Masters,0.6,abcde,English
Geier Reach Sanitarium,1,Near Mint,Commander Masters,1.12,abcde,English
Mirage Mirror,1,Near Mint,Commander Masters,1.31,abcde,English
Mystic Forge,1,Near Mint,Commander Masters,2.13,abcde,English
Oblivion Sower,1,Near Mint,Commander Masters,0.94,abcde,English
Ornithopter of Paradise,1,Near Mint,Commander Masters,1.67,abcde,English
Scavenger Grounds,2,Near Mint,Commander Masters,1.33,abcde,English
Skittering Cicada,1,Near Mint,Commander Masters,1.83,abcde,English
Solemn Simulacrum,2,Near Mint,Commander Masters,0.74,abcde,English
Steel Hellkite,1,Near Mint,Commander Masters,0.52,abcde,English
Stonecoil Serpent,1,Near Mint,Commander Masters,0.99,abcde,English
Ugin's Mastery,1,Near Mint,Commander Masters,0.97,abcde,English
"Goreclaw, Terror of Qal Sisma",1,Near Mint,Core Set 2019,0.65,abcde,English
Angel of Vitality,4,Near Mint,Core Set 2020,1.03,abcde,English
Conspicuous Snoop,4,Near Mint,Core Set 2021,4.97,abcde,English
Garruk's Uprising - Showcase,1,Near Mint,Core Set 2021,0.85,abcde,English
Llanowar Visionary - Dark Frame Promo Pack,1,Near Mint,Promo Pack: Core Set 2021,1.02,abcde,English
Shacklegeist - Extended Art,1,Near Mint,Core Set 2021,0.86,abcde,English
Disorder in the Court - Extended Art,1,Near Mint,Commander: Innistrad: Crimson Vow,1.23,abcde,English
Imprisoned in the Moon,2,Near Mint,Commander: Innistrad: Crimson Vow,0.75,abcde,English
"Kamber, the Plunderer - Extended Art",1,Near Mint,Commander: Innistrad: Crimson Vow,1.19,abcde,English
Olivia's Wrath - Extended Art,1,Near Mint,Commander: Innistrad: Crimson Vow,1.46,abcde,English
Thundering Mightmare,1,Near Mint,Commander: Innistrad: Crimson Vow,0.71,abcde,English
Thundering Mightmare - Extended Art,1,Near Mint,Commander: Innistrad: Crimson Vow,0.75,abcde,English
Curse of Misfortunes,1,Near Mint,Dark Ascension,0.77,abcde,English
Increasing Ambition,1,Near Mint,Dark Ascension,0.75,abcde,English
The Ninth Doctor - Showcase,1,Near Mint,Doctor Who,1.27,abcde,English
Cabal Stronghold,1,Near Mint,Dominaria,10.32,abcde,English
"Danitha Capashen, Paragon",1,Near Mint,Dominaria,0.23,abcde,English
History of Benalia,1,Near Mint,Dominaria,0.92,abcde,English
Jhoira's Familiar,5,Near Mint,Dominaria,0.86,abcde,English
Merfolk Trickster,1,Near Mint,Dominaria,1.22,abcde,English
"Muldrotha, the Gravetide",1,Near Mint,Dominaria,10.4,abcde,English
Sylvan Awakening,1,Near Mint,Dominaria,1.51,abcde,English
Oversold Cemetery - Borderless,1,Near Mint,Dominaria Remastered,0.54,abcde,English
Pashalik Mons - Retro Frame,1,Near Mint,Dominaria Remastered,0.65,abcde,English
Worldgorger Dragon - Retro Frame,1,Near Mint,Dominaria Remastered,0.53,abcde,English
Anointed Peacekeeper,1,Near Mint,Dominaria United,0.54,abcde,English
Destroy Evil,3,Near Mint,Dominaria United,1.03,abcde,English
"Jaya, Fiery Negotiator",3,Near Mint,Dominaria United,0.52,abcde,English
Negate,5,Near Mint,Dominaria United,0.27,abcde,English
Resolute Reinforcements,2,Near Mint,Dominaria United,0.4,abcde,English
"Rith, Liberated Primeval - Showcase",2,Near Mint,Dominaria United,0.57,abcde,English
Rivaz of the Claw,1,Near Mint,Dominaria United,1.34,abcde,English
Rundvelt Hordemaster,1,Near Mint,Dominaria United,1.11,abcde,English
Soul of Windgrace,1,Near Mint,Dominaria United,0.64,abcde,English
"Squee, Dubious Monarch",1,Near Mint,Dominaria United,0.73,abcde,English
Weatherlight Compleated,1,Near Mint,Dominaria United,0.63,abcde,English
"Zur, Eternal Schemer",1,Near Mint,Dominaria United,1.12,abcde,English
Emperor Mihail II,1,Near Mint,Commander: Dominaria United,0.78,abcde,English
Trash for Treasure,1,Near Mint,Double Masters,0.75,abcde,English
Atarka's Command,1,Near Mint,Double Masters 2022,0.79,abcde,English
Backdraft Hellkite,1,Near Mint,Double Masters 2022,0.49,abcde,English
Forbidden Orchard - Borderless,1,Near Mint,Double Masters 2022,6.94,abcde,English
"Skullbriar, the Walking Grave",1,Near Mint,Double Masters 2022,0.63,abcde,English
Wall of Omens,1,Near Mint,Double Masters 2022,0.61,abcde,English
"Mirko Vosk, Mind Drinker",1,Near Mint,Dragon's Maze,0.58,abcde,English
Dragon Whisperer,1,Near Mint,Dragons of Tarkir,0.6,abcde,English
Explosive Vegetation,2,Near Mint,Dragons of Tarkir,0.6,abcde,English
Impact Tremors,1,Near Mint,Dragons of Tarkir,0.59,abcde,English
Inspiring Call,1,Near Mint,Dragons of Tarkir,0.4,abcde,English
Butcher Ghoul,2,Near Mint,Duel Decks: Blessed vs Cursed,0.86,abcde,English
Seraph Sanctuary,1,Near Mint,Duel Decks: Blessed vs Cursed,1.18,abcde,English
Victim of Night,1,Near Mint,Duel Decks: Blessed vs Cursed,0.53,abcde,English
Myr Token,1,Near Mint,Duel Decks: Elves vs. Inventors,0.79,abcde,English
Orcish Lumberjack,1,Near Mint,Duel Decks: Heroes vs Monsters,0.61,abcde,English
Eternal Scourge,1,Near Mint,Eldritch Moon,2.98,abcde,English
Counterspell,1,Near Mint,Eternal Masters,1.15,abcde,English
Wall of Omens,1,Near Mint,Eternal Masters,0.47,abcde,English
Necropolis Regent,1,Near Mint,Explorers of Ixalan,0.67,abcde,English
Aeolipile,1,Near Mint,Fallen Empires,2.0,abcde,English
Conch Horn,1,Near Mint,Fallen Empires,5.04,abcde,English
Draconian Cylix,1,Near Mint,Fallen Empires,1.55,abcde,English
Elven Lyre,1,Near Mint,Fallen Empires,0.65,abcde,English
Fungal Bloom,2,Near Mint,Fallen Empires,3.27,abcde,English
Icatian Lieutenant,1,Near Mint,Fallen Empires,0.62,abcde,English
Spirit Shield,1,Near Mint,Fallen Empires,0.78,abcde,English
Palace Siege,1,Near Mint,Fate Reforged,1.05,abcde,English
All Suns' Dawn,1,Near Mint,Fifth Dawn,0.57,abcde,English
Possessed Portal,1,Near Mint,Fifth Dawn,2.64,abcde,English
Dust to Dust,1,Near Mint,Fifth Edition,8.19,abcde,English
Order of the Sacred Torch,1,Near Mint,Fifth Edition,0.63,abcde,English
Bucknard's Everfull Purse,1,Near Mint,Commander: Adventures in the Forgotten Realms,0.71,abcde,English
Death Tyrant,1,Near Mint,Commander: Adventures in the Forgotten Realms,1.97,abcde,English
Death Tyrant - Extended Art,1,Near Mint,Commander: Adventures in the Forgotten Realms,1.93,abcde,English
Fevered Suspicion - Extended Art,1,Near Mint,Commander: Adventures in the Forgotten Realms,2.42,abcde,English
Geier Reach Sanitarium,1,Near Mint,Commander: Adventures in the Forgotten Realms,0.54,abcde,English
Grave Endeavor - Extended Art,1,Near Mint,Commander: Adventures in the Forgotten Realms,0.56,abcde,English
Halimar Depths,1,Near Mint,Commander: Adventures in the Forgotten Realms,0.52,abcde,English
Hurl Through Hell,1,Near Mint,Commander: Adventures in the Forgotten Realms,3.02,abcde,English
Midnight Pathlighter - Extended Art,1,Near Mint,Commander: Adventures in the Forgotten Realms,1.23,abcde,English
Neverwinter Hydra - Extended Art,1,Near Mint,Commander: Adventures in the Forgotten Realms,6.4,abcde,English
Sefris of the Hidden Ways - Extended Art,1,Near Mint,Commander: Adventures in the Forgotten Realms,3.14,abcde,English
Serum Visions,1,Near Mint,Commander: Adventures in the Forgotten Realms,0.71,abcde,English
Dark Ritual,3,Near Mint,Fourth Edition,1.15,abcde,English
Forest (376),3,Near Mint,Fourth Edition,0.56,abcde,English
Island (368),3,Near Mint,Fourth Edition,0.58,abcde,English
Island (369),3,Near Mint,Fourth Edition,0.49,abcde,English
Llanowar Elves,3,Near Mint,Fourth Edition,0.76,abcde,English
Mana Clash,1,Near Mint,Fourth Edition,0.74,abcde,English
Mountain (373),2,Near Mint,Fourth Edition,0.57,abcde,English
Mountain (374),1,Near Mint,Fourth Edition,0.47,abcde,English
Plains (364),5,Near Mint,Fourth Edition,0.73,abcde,English
Plains (365),1,Near Mint,Fourth Edition,0.64,abcde,English
Boros Signet,2,Near Mint,Guilds of Ravnica Guild Kits,0.77,abcde,English
Alpha Authority,1,Near Mint,Gatecrash,2.7,abcde,English
Enter the Infinite,1,Near Mint,Gatecrash,4.47,abcde,English
Circuitous Route,1,Near Mint,Guilds of Ravnica,0.68,abcde,English
Mausoleum Secrets,1,Near Mint,Guilds of Ravnica,0.86,abcde,English
Truce,1,Near Mint,Homelands,1.12,abcde,English
Winter Sky,1,Near Mint,Homelands,1.36,abcde,English
"Unesh, Criosphinx Sovereign",1,Near Mint,Hour of Devastation,0.84,abcde,English
Glacial Crevasses,1,Near Mint,Ice Age,2.15,abcde,English
Lhurgoyf,1,Near Mint,Ice Age,0.88,abcde,English
Star Compass,1,Near Mint,Iconic Masters,0.58,abcde,English
Forest (272),5,Near Mint,Ikoria: Lair of Behemoths,1.19,abcde,English
"Lukka, Coppercoat Outcast",1,Near Mint,Ikoria: Lair of Behemoths,0.82,abcde,English
Plains (260),1,Near Mint,Ikoria: Lair of Behemoths,0.64,abcde,English
Swamp (266),2,Near Mint,Ikoria: Lair of Behemoths,1.1,abcde,English
Army of the Damned,1,Near Mint,Innistrad,0.96,abcde,English
End the Festivities,1,Near Mint,Innistrad: Crimson Vow,1.64,abcde,English
Faithbound Judge // Sinner's Judgment,1,Near Mint,Innistrad: Crimson Vow,0.96,abcde,English
Headless Rider,1,Near Mint,Innistrad: Crimson Vow,2.42,abcde,English
Howling Moon,2,Near Mint,Innistrad: Crimson Vow,0.95,abcde,English
Howlpack Piper // Wildsong Howler,1,Near Mint,Innistrad: Crimson Vow,0.82,abcde,English
Kessig Flamebreather,1,Near Mint,Innistrad: Crimson Vow,0.74,abcde,English
Mirrorhall Mimic // Ghastly Mimicry - Extended Art,4,Near Mint,Innistrad: Crimson Vow,1.02,abcde,English
Reckless Impulse,1,Near Mint,Innistrad: Crimson Vow,0.49,abcde,English
Abraham Van Helsing - Savior of Ollenbock,1,Near Mint,Innistrad: Crimson Vow,0.67,abcde,English
Swamp (272),1,Near Mint,Innistrad: Crimson Vow,0.61,abcde,English
Voldaren Epicure,1,Near Mint,Innistrad: Crimson Vow,0.48,abcde,English
"Jacob Hauken, Inspector // Hauken's Insight",1,Near Mint,Innistrad: Double Feature,0.49,abcde,English
Consuming Blob,1,Near Mint,Innistrad: Midnight Hunt,0.5,abcde,English
Falkenrath Pit Fighter - Extended Art,1,Near Mint,Innistrad: Midnight Hunt,0.55,abcde,English
Fateful Absence - Extended Art,1,Near Mint,Innistrad: Midnight Hunt,1.25,abcde,English
Infernal Grasp,1,Near Mint,Innistrad: Midnight Hunt,1.23,abcde,English
Malevolent Hermit // Benevolent Geist,1,Near Mint,Innistrad: Midnight Hunt,1.36,abcde,English
Memory Deluge,2,Near Mint,Innistrad: Midnight Hunt,0.92,abcde,English
Moonveil Regent,1,Near Mint,Innistrad: Midnight Hunt,0.49,abcde,English
Pithing Needle - Extended Art,1,Near Mint,Innistrad: Midnight Hunt,0.89,abcde,English
Primal Adversary,2,Near Mint,Innistrad: Midnight Hunt,0.96,abcde,English
Rite of Harmony,1,Near Mint,Innistrad: Midnight Hunt,1.23,abcde,English
"Saryth, the Viper's Fang",1,Near Mint,Innistrad: Midnight Hunt,2.29,abcde,English
"Saryth, the Viper's Fang - Showcase",1,Near Mint,Innistrad: Midnight Hunt,1.62,abcde,English
Sigarda's Splendor - Extended Art,1,Near Mint,Innistrad: Midnight Hunt,0.68,abcde,English
"Sigarda, Champion of Light",3,Near Mint,Innistrad: Midnight Hunt,1.1,abcde,English
Smoldering Egg // Ashmouth Dragon,1,Near Mint,Innistrad: Midnight Hunt,0.64,abcde,English
The Celestus,1,Near Mint,Innistrad: Midnight Hunt,1.77,abcde,English
Chromatic Sphere,2,Near Mint,Invasion,1.43,abcde,English
Lotus Guardian,1,Near Mint,Invasion,0.52,abcde,English
Obliterate,1,Near Mint,Invasion,4.13,abcde,English
Goring Ceratops,1,Near Mint,Ixalan,2.32,abcde,English
Otepec Huntmaster,2,Near Mint,Ixalan,0.51,abcde,English
Ranging Raptors,3,Near Mint,Ixalan,0.68,abcde,English
Benevolent Bodyguard,1,Near Mint,Judgment,0.57,abcde,English
Cephalid Constable,1,Near Mint,Judgment,2.71,abcde,English
Planar Chaos,1,Near Mint,Judgment,1.16,abcde,English
Prismatic Strands,1,Near Mint,Judgment,2.47,abcde,English
Doomskar - Extended Art,1,Near Mint,Kaldheim,1.06,abcde,English
Elven Ambush,1,Near Mint,Kaldheim,1.06,abcde,English
Resplendent Marshal,1,Near Mint,Kaldheim,0.62,abcde,English
Snow-Covered Forest (284),1,Near Mint,Kaldheim,1.14,abcde,English
Snow-Covered Island (278),1,Near Mint,Kaldheim,1.02,abcde,English
Snow-Covered Island (279),1,Near Mint,Kaldheim,1.03,abcde,English
Azorius Signet,1,Near Mint,Commander: Kaldheim,0.42,abcde,English
"Brago, King Eternal",1,Near Mint,Commander: Kaldheim,2.66,abcde,English
Cosmic Intervention,1,Near Mint,Commander: Kaldheim,3.13,abcde,English
Eerie Interlude,1,Near Mint,Commander: Kaldheim,3.6,abcde,English
Elvish Mystic,1,Near Mint,Commander: Kaldheim,0.63,abcde,English
Springbloom Druid,1,Near Mint,Commander: Kaldheim,1.73,abcde,English
Blade of the Oni,1,Near Mint,Kamigawa: Neon Dynasty,0.69,abcde,English
Enthusiastic Mechanaut - Dark Frame Promo,1,Near Mint,Promo Pack: Kamigawa: Neon Dynasty,7.04,abcde,English
Experimental Synthesizer,2,Near Mint,Kamigawa: Neon Dynasty,0.64,abcde,English
"Goro-Goro, Disciple of Ryusei",1,Near Mint,Kamigawa: Neon Dynasty,0.74,abcde,English
Invoke Despair - Extended Art,1,Near Mint,Kamigawa: Neon Dynasty,0.68,abcde,English
"Isshin, Two Heavens as One",2,Near Mint,Kamigawa: Neon Dynasty,1.55,abcde,English
"Isshin, Two Heavens as One - Extended Art",1,Near Mint,Kamigawa: Neon Dynasty,3.74,abcde,English
"Kairi, the Swirling Sky",1,Near Mint,Kamigawa: Neon Dynasty,0.56,abcde,English
Kumano Faces Kakkazan // Etching of Kumano,1,Near Mint,Kamigawa: Neon Dynasty,0.29,abcde,English
"Light-Paws, Emperor's Voice",1,Near Mint,Kamigawa: Neon Dynasty,0.91,abcde,English
Lizard Blades,1,Near Mint,Kamigawa: Neon Dynasty,0.8,abcde,English
Mechtitan Core - Showcase,1,Near Mint,Kamigawa: Neon Dynasty,1.37,abcde,English
Patchwork Automaton,1,Near Mint,Kamigawa: Neon Dynasty,0.57,abcde,English
Tamiyo's Safekeeping,1,Near Mint,Kamigawa: Neon Dynasty,1.43,abcde,English
"Tamiyo, Compleated Sage",2,Near Mint,Kamigawa: Neon Dynasty,1.11,abcde,English
Weaver of Harmony,1,Near Mint,Kamigawa: Neon Dynasty,1.4,abcde,English
Grim Haruspex,1,Near Mint,Khans of Tarkir,0.83,abcde,English
Opulent Palace,1,Near Mint,Khans of Tarkir,0.46,abcde,English
Barbary Apes,2,Near Mint,Legends,1.78,abcde,English
Princess Lucrezia,1,Near Mint,Legends,1.58,abcde,English
Phage the Untouchable,1,Near Mint,Legions,5.88,abcde,English
Plated Sliver,1,Near Mint,Legions,0.57,abcde,English
Honor of the Pure,1,Near Mint,Magic 2010,0.9,abcde,English
Autumn's Veil,2,Near Mint,Magic 2012,0.44,abcde,English
Diabolic Tutor,1,Near Mint,Magic 2012,0.9,abcde,English
Boundless Realms,1,Near Mint,Magic 2013,1.43,abcde,English
Mwonvuli Beast Tracker - Game Day Promo,1,Near Mint,Unique & Misc. Promos,0.64,abcde,English
Manaweft Sliver,1,Near Mint,Magic 2014,0.58,abcde,English
Predatory Sliver,8,Near Mint,Magic 2014,0.55,abcde,English
Exquisite Firecraft,1,Near Mint,Magic Origins,1.25,abcde,English
Corrupted Conviction,1,Near Mint,March of the Machine,1.19,abcde,English
Dusk Legion Duelist,2,Near Mint,March of the Machine,1.03,abcde,English
Lithomantic Barrage,1,Near Mint,March of the Machine,1.01,abcde,English
"Realmbreaker, the Invasion Tree",1,Near Mint,March of the Machine,0.88,abcde,English
See Double,3,Near Mint,March of the Machine,1.04,abcde,English
See Double - Extended Art,1,Near Mint,March of the Machine,1.17,abcde,English
Surge of Salvation,1,Near Mint,March of the Machine,1.14,abcde,English
Surrak and Goreclaw,3,Near Mint,March of the Machine,5.23,abcde,English
Voldaren Thrillseeker - Extended Art,1,Near Mint,March of the Machine,0.92,abcde,English
Wrenn's Resolve,1,Near Mint,March of the Machine,0.65,abcde,English
Yargle and Multani,1,Near Mint,March of the Machine,0.85,abcde,English
Zimone and Dina - Showcase,1,Near Mint,March of the Machine,0.59,abcde,English
Deluxe Dragster - Extended Art,1,Near Mint,Commander: March of the Machine,0.63,abcde,English
Excise the Imperfect,1,Near Mint,Commander: March of the Machine,1.35,abcde,English
Hedron Detonator - Extended Art,1,Near Mint,Commander: March of the Machine,2.08,abcde,English
Swords to Plowshares,1,Near Mint,Commander: March of the Machine,0.99,abcde,English
"Danitha, New Benalia's Light",1,Near Mint,March of the Machine: The Aftermath,1.01,abcde,English
"Narset, Enlightened Exile",1,Near Mint,March of the Machine: The Aftermath,3.25,abcde,English
Open the Way,1,Near Mint,March of the Machine: The Aftermath,1.27,abcde,English
Plargg and Nassari,2,Near Mint,March of the Machine: The Aftermath,1.04,abcde,English
Brainstorm,1,Near Mint,Masters 25,1.08,abcde,English
Lightning Bolt,1,Near Mint,Masters 25,1.15,abcde,English
Ravenous Chupacabra,1,Near Mint,Masters 25,0.54,abcde,English
Whale Token (007),1,Near Mint,Masters 25,0.55,abcde,English
Saprazzan Bailiff,1,Near Mint,Mercadian Masques,0.57,abcde,English
Statecraft,1,Near Mint,Mercadian Masques,3.04,abcde,English
Tectonic Break,1,Near Mint,Mercadian Masques,4.28,abcde,English
Go for the Throat,1,Near Mint,Commander: Innistrad: Midnight Hunt,0.7,abcde,English
"Leinore, Autumn Sovereign - Extended Art",1,Near Mint,Commander: Innistrad: Midnight Hunt,2.05,abcde,English
Visions of Dominance,1,Near Mint,Commander: Innistrad: Midnight Hunt,0.71,abcde,English
Visions of Glory,1,Near Mint,Commander: Innistrad: Midnight Hunt,0.78,abcde,English
Visions of Ruin - Extended Art,1,Near Mint,Commander: Innistrad: Midnight Hunt,0.89,abcde,English
"Wilhelt, the Rotcleaver",1,Near Mint,Commander: Innistrad: Midnight Hunt,9.01,abcde,English
Grinning Totem,1,Near Mint,Mirage,0.66,abcde,English
Null Chamber,1,Near Mint,Mirage,1.74,abcde,English
Empyrial Plate,1,Near Mint,Mirrodin,0.59,abcde,English
Fiery Gambit,1,Near Mint,Mirrodin,1.2,abcde,English
Gate to the Aether,1,Near Mint,Mirrodin,1.98,abcde,English
Timesifter,1,Near Mint,Mirrodin,2.52,abcde,English
Corrupted Conscience,1,Near Mint,Mirrodin Besieged,0.66,abcde,English
Fangren Marauder,3,Near Mint,Mirrodin Besieged,0.68,abcde,English
Go for the Throat,1,Near Mint,Mirrodin Besieged,1.11,abcde,English
Force of Virtue,1,Near Mint,Modern Horizons,0.55,abcde,English
Ingenious Infiltrator,1,Near Mint,Modern Horizons,0.78,abcde,English
Counterspell,3,Near Mint,Modern Horizons 2,1.22,abcde,English
Dragon's Rage Channeler,1,Near Mint,Modern Horizons 2,1.18,abcde,English
Mothdust Changeling,2,Near Mint,Modern Masters,0.58,abcde,English
Vivid Marsh,1,Near Mint,Modern Masters,0.61,abcde,English
Lightning Bolt,3,Near Mint,Modern Masters 2015,0.75,abcde,English
Azorius Signet,1,Near Mint,Modern Masters 2017,0.49,abcde,English
Goblin Assault,3,Near Mint,Modern Masters 2017,0.76,abcde,English
Wall of Denial,1,Near Mint,Modern Masters 2017,0.37,abcde,English
"Arixmethes, Slumbering Isle",1,Near Mint,March of the Machine: Multiverse Legends,1.43,abcde,English
"Baral, Chief of Compliance",2,Near Mint,March of the Machine: Multiverse Legends,1.49,abcde,English
"Emry, Lurker of the Loch",1,Near Mint,March of the Machine: Multiverse Legends,0.88,abcde,English
